Folder,n_variables,s_size,p_sparse,VAFx,n_components,VAF,Recovery_Rate,MSE_W,MSE_P,Bias_W,Bias_P,W_Corr,P_Corr,MSE_W_P
../Scripts/DATA-R-P-Sparse,10,100,0,0.8,2,0.839528984,1,13.14088835,13.14078241,-0.022132373,-0.022042125,0.984674043,0.984716444,3.23E-06
../Scripts/DATA-R-P-Sparse,10,100,0,1,2,1,1,12.31883148,12.31883148,0.570959067,0.570959068,0.97903398,0.97903398,3.40E-17
../Scripts/DATA-R-P-Sparse,10,100,0.5,0.8,2,0.841744315,1,11.19586447,11.15385729,0.035216437,0.026857199,0.985154529,0.994043027,0.002306183
../Scripts/DATA-R-P-Sparse,10,100,0.5,1,2,1,0.78,11.39189732,11.07537006,0.35323187,0.328646226,0.786798748,0.830103795,0.023620361
../Scripts/DATA-R-P-Sparse,10,100,0.8,0.8,2,0.841648497,0.98,7.074216186,7.032301272,0.051468257,0.052752801,0.972031872,0.985897235,0.003727222
../Scripts/DATA-R-P-Sparse,10,100,0.8,1,2,1,0.8,8.795508861,7.911079654,-0.167276529,-0.165891427,0.797104389,0.998833464,0.060762046
../Scripts/DATA-R-P-Sparse,10,500,0,0.8,2,0.841289364,1,55.43378705,55.43376959,-0.51916323,-0.519140602,0.961656752,0.961667455,6.83E-08
../Scripts/DATA-R-P-Sparse,10,500,0,1,2,1,1,56.02701903,56.02701903,-0.14676051,-0.146760507,0.999587873,0.999587873,9.92E-16
../Scripts/DATA-R-P-Sparse,10,500,0.5,0.8,2,0.838625063,0.9,48.78259169,48.57506538,-0.210457765,-0.20984382,0.927130271,0.944527505,0.005505253
../Scripts/DATA-R-P-Sparse,10,500,0.5,1,2,1,0.7,50.26730883,49.73476579,-0.243678858,-0.238278584,0.756633482,0.807509208,0.016707192
../Scripts/DATA-R-P-Sparse,10,500,0.8,0.8,2,0.83719673,0.98,33.14838362,33.09092649,0.320258068,0.315581221,0.977913214,0.98491308,0.001794536
../Scripts/DATA-R-P-Sparse,10,500,0.8,1,2,1,0.84,31.69741822,30.25773753,0.439592152,0.4303652,0.712733651,0.867329314,0.053215738
../Scripts/DATA-R-P-Sparse,100,100,0,0.8,2,0.807175211,1,3.368786574,3.368783149,-0.062669432,-0.062671809,0.937335428,0.937336733,1.42E-07
../Scripts/DATA-R-P-Sparse,100,100,0,1,2,1,1,3.315431802,3.315431802,0.010229094,0.010229093,0.988222075,0.988222075,1.07E-17
../Scripts/DATA-R-P-Sparse,100,100,0.5,0.8,2,0.808074204,0.864,3.134405749,3.086000877,-0.026978852,-0.025929406,0.856908892,0.920109859,0.001747519
../Scripts/DATA-R-P-Sparse,100,100,0.5,1,2,1,0.794,3.108184644,3.065814999,0.005932069,0.00684136,0.809410301,0.866673984,0.001520289
../Scripts/DATA-R-P-Sparse,100,100,0.8,0.8,2,0.806763709,0.928,2.173207909,2.117884386,-0.022033622,-0.019109142,0.81853338,0.901015866,0.002976912
../Scripts/DATA-R-P-Sparse,100,100,0.8,1,2,1,0.874,2.146505825,2.03050633,0.017494881,0.012332318,0.697540465,0.869281774,0.006096589
../Scripts/DATA-R-P-Sparse,100,500,0,0.8,2,0.804970005,1,9.340639506,9.340639073,0.098619077,0.098616217,0.992940159,0.992940312,7.95E-09
../Scripts/DATA-R-P-Sparse,100,500,0,1,2,1,1,9.554176184,9.554176184,-0.077060611,-0.077060611,0.99915946,0.99915946,6.91E-17
../Scripts/DATA-R-P-Sparse,100,500,0.5,0.8,2,0.804321185,0.806,8.942387806,8.861976871,-0.039636688,-0.039848784,0.825796161,0.890098968,0.001634302
../Scripts/DATA-R-P-Sparse,100,500,0.5,1,2,1,0.828,8.801616176,8.728055812,0.052480132,0.052284783,0.821322039,0.880158632,0.001654749
../Scripts/DATA-R-P-Sparse,100,500,0.8,0.8,2,0.802438425,0.874,6.332283979,6.172210565,-0.012925667,-0.01217186,0.67816149,0.81740943,0.005391511
../Scripts/DATA-R-P-Sparse,100,500,0.8,1,2,1,0.932,6.041518407,5.854452095,-0.079710474,-0.079758791,0.742591833,0.909138289,0.005713538
../Scripts/DATA-R-P-Sparse,1000,100,0,0.8,2,0.80443786,1,1.605880367,1.605879085,0.005696345,0.005698841,0.937479113,0.937485802,2.09E-08
../Scripts/DATA-R-P-Sparse,1000,100,0,1,2,1,1,1.597011684,1.597011684,0.004377867,0.004377867,0.973231872,0.973231872,5.59E-18
../Scripts/DATA-R-P-Sparse,1000,100,0.5,0.8,2,0.804437956,0.8432,1.501645696,1.493791161,0.01619226,0.016189054,0.845467267,0.893611464,0.00013096
../Scripts/DATA-R-P-Sparse,1000,100,0.5,1,2,1,0.92,1.503032033,1.497360245,0.010600629,0.010654582,0.915614392,0.950914689,8.53E-05
../Scripts/DATA-R-P-Sparse,1000,100,0.8,0.8,2,0.804816636,0.9008,1.040723152,1.015805879,0.016417343,0.015979894,0.744243047,0.915225729,0.00053392
../Scripts/DATA-R-P-Sparse,1000,100,0.8,1,2,1,0.8692,1.047622595,1.023886414,-0.016841086,-0.016484882,0.646878118,0.805674642,0.000645124
../Scripts/DATA-R-P-Sparse,1000,500,0,0.8,2,0.801069428,1,2.756778463,2.756778252,-0.008235918,-0.008236074,0.992670251,0.992671234,2.04E-09
../Scripts/DATA-R-P-Sparse,1000,500,0,1,2,1,1,2.755911289,2.755911289,-0.010022526,-0.010022526,0.995835183,0.995835183,1.37E-17
../Scripts/DATA-R-P-Sparse,1000,500,0.5,0.8,2,0.801246123,0.6768,2.582895068,2.551904671,0.023238304,0.023066744,0.70211543,0.840726703,0.000437213
../Scripts/DATA-R-P-Sparse,1000,500,0.5,1,2,1,0.8788,2.560298767,2.548944327,0.006313946,0.00615604,0.884258848,0.93811657,0.000127558
../Scripts/DATA-R-P-Sparse,1000,500,0.8,0.8,2,0.801141499,0.9086,1.794133078,1.761222883,-0.010974047,-0.011116704,0.760363589,0.932095022,0.000528798
../Scripts/DATA-R-P-Sparse,1000,500,0.8,1,2,1,0.8924,1.804609767,1.775864455,0.015019203,0.0145705,0.711282227,0.859820435,0.000522166
../Scripts/DATA-R-W-Sparse,10,100,0,0.8,2,0.847236256,1,0.009279196,0.009284935,0.004031754,0.004193882,0.957232458,0.957143604,3.22E-06
../Scripts/DATA-R-W-Sparse,10,100,0,1,2,1,1,0.000271957,0.000271957,0.000930518,0.000930518,0.998650195,0.998650195,1.54E-17
../Scripts/DATA-R-W-Sparse,10,100,0.5,0.8,2,0.837733095,0.8,0.032099344,0.02853192,-0.008186913,-0.002467395,0.839803392,0.861319451,0.00572386
../Scripts/DATA-R-W-Sparse,10,100,0.5,1,2,1,0.72,0.058358495,0.049448672,0.011988596,0.00224125,0.692811906,0.778643071,0.023772773
../Scripts/DATA-R-W-Sparse,10,100,0.8,0.8,2,0.844943005,0.96,0.009377728,0.008051287,0.009608574,0.007407109,0.948603857,0.959682247,0.003188441
../Scripts/DATA-R-W-Sparse,10,100,0.8,1,2,1,0.8,0.062032656,0.03944106,-0.028958657,0.021506804,0.685461642,0.86958155,0.059531846
../Scripts/DATA-R-W-Sparse,10,500,0,0.8,2,0.841233824,1,0.001911148,0.001910885,-0.002554941,-0.002526313,0.990217493,0.990221086,1.61E-07
../Scripts/DATA-R-W-Sparse,10,500,0,1,2,1,1,0.003715856,0.003715856,-0.001145734,-0.001145734,0.981471944,0.981471943,3.76E-16
../Scripts/DATA-R-W-Sparse,10,500,0.5,0.8,2,0.839348051,0.88,0.018689932,0.016191598,0.023676157,0.017885267,0.911495962,0.920771196,0.002910801
../Scripts/DATA-R-W-Sparse,10,500,0.5,1,2,1,0.74,0.047102633,0.042928606,0.071533092,0.063216039,0.757944648,0.801098045,0.009082161
../Scripts/DATA-R-W-Sparse,10,500,0.8,0.8,2,0.839018662,1,0.003256588,0.002099804,-0.007588127,-0.000772733,0.985622364,0.99049197,0.00172798
../Scripts/DATA-R-W-Sparse,10,500,0.8,1,2,1,0.84,0.075061857,0.06695189,-0.041501787,0.000733118,0.650472115,0.752817016,0.046005044
../Scripts/DATA-R-W-Sparse,100,100,0,0.8,2,0.807878158,1,0.001268422,0.001268025,0.001282983,0.001285382,0.93660995,0.93663831,4.71E-07
../Scripts/DATA-R-W-Sparse,100,100,0,1,2,1,1,0.000890982,0.000890982,8.37E-05,8.37E-05,0.955451772,0.955451772,6.18E-18
../Scripts/DATA-R-W-Sparse,100,100,0.5,0.8,2,0.807408618,0.854,0.002825213,0.001766597,-0.00012335,-0.001441573,0.857079933,0.923152481,0.001660362
../Scripts/DATA-R-W-Sparse,100,100,0.5,1,2,1,0.938,0.001119609,0.000491256,-0.000291638,-0.001029083,0.943925245,0.977817844,0.000758971
../Scripts/DATA-R-W-Sparse,100,100,0.8,0.8,2,0.806135972,0.874,0.006646635,0.005655329,0.002748585,-0.001229328,0.669018199,0.821676326,0.006207563
../Scripts/DATA-R-W-Sparse,100,100,0.8,1,2,1,0.846,0.007849382,0.006938298,0.000979546,-0.000777035,0.606679469,0.771810986,0.006705878
../Scripts/DATA-R-W-Sparse,100,500,0,0.8,2,0.804764901,1,0.00014719,0.000147181,-0.000438834,-0.000437644,0.992644519,0.992645083,1.44E-08
../Scripts/DATA-R-W-Sparse,100,500,0,1,2,1,1,7.88E-05,7.88E-05,0.000213168,0.000213168,0.99606073,0.99606073,8.25E-17
../Scripts/DATA-R-W-Sparse,100,500,0.5,0.8,2,0.803927838,0.704,0.005213414,0.004348609,-0.002591429,-0.001753941,0.73960783,0.804479364,0.001836242
../Scripts/DATA-R-W-Sparse,100,500,0.5,1,2,1,0.764,0.004138633,0.003290161,-0.002664686,-0.003017746,0.792678133,0.851746237,0.001595401
../Scripts/DATA-R-W-Sparse,100,500,0.8,0.8,2,0.803839777,0.972,0.001887286,0.001560408,0.002669316,-3.71E-05,0.90730032,0.956846203,0.002111794
../Scripts/DATA-R-W-Sparse,100,500,0.8,1,2,1,0.834,0.008483588,0.007474382,-0.000240719,0.001754145,0.57484738,0.760597732,0.007647043
../Scripts/DATA-R-W-Sparse,1000,100,0,0.8,2,0.804345997,1,9.77E-05,9.77E-05,-0.000165551,-0.000166404,0.951148797,0.951172835,6.54E-08
../Scripts/DATA-R-W-Sparse,1000,100,0,1,2,1,1,1.25E-05,1.25E-05,-3.58E-05,-3.58E-05,0.993765556,0.993765556,4.32E-18
../Scripts/DATA-R-W-Sparse,1000,100,0.5,0.8,2,0.804366743,0.8,0.000371894,0.000290493,-0.000141451,3.00E-05,0.814115291,0.870262352,0.000154112
../Scripts/DATA-R-W-Sparse,1000,100,0.5,1,2,1,0.8352,0.000317434,0.000249295,0.000323564,0.000251865,0.841301855,0.887031957,0.000121742
../Scripts/DATA-R-W-Sparse,1000,100,0.8,0.8,2,0.803858296,0.8666,0.000706328,0.000534381,0.000149471,-0.000313208,0.647082316,0.836205627,0.000707266
../Scripts/DATA-R-W-Sparse,1000,100,0.8,1,2,1,0.8864,0.000659796,0.000444772,1.77E-05,-0.000118293,0.669955767,0.858270919,0.000644434
../Scripts/DATA-R-W-Sparse,1000,500,0,0.8,2,0.8013491,1,1.17E-05,1.17E-05,3.11E-05,3.11E-05,0.99415574,0.994156607,1.34E-09
../Scripts/DATA-R-W-Sparse,1000,500,0,1,2,1,1,5.83E-06,5.83E-06,-3.68E-07,-3.68E-07,0.997087042,0.997087042,1.38E-17
../Scripts/DATA-R-W-Sparse,1000,500,0.5,0.8,2,0.80107773,0.6926,0.000585366,0.000411141,3.27E-06,-0.000137879,0.707371205,0.844632948,0.0004289
../Scripts/DATA-R-W-Sparse,1000,500,0.5,1,2,1,0.8084,0.000355932,0.000268384,0.000199154,0.000135891,0.822075177,0.878858429,0.00014853
../Scripts/DATA-R-W-Sparse,1000,500,0.8,0.8,2,0.801036615,0.899,0.000562196,0.000449755,0.000103545,-2.82E-05,0.718806852,0.859822305,0.000536433
../Scripts/DATA-R-W-Sparse,1000,500,0.8,1,2,1,0.8916,0.00059064,0.000399445,7.86E-05,-4.52E-05,0.704717435,0.869383247,0.000554169
